,Passy,Chamonix,Marnaz
Industrial,0.07064023284195181,,
Sea/road salt,0.4378640120673874,0.09477522676339528,0.09694799082163011
Primary bio,0.23119343194770636,0.1057881007762016,0.09205687762983593
Mineral dust,0.4369623584144561,0.07965908083160263,0.1361415853741425
Vehicular,1.3379627307226936,0.4852556119664799,0.30287112107106146
Secondary bio,0.2225058002135049,0.12441595681112766,0.1235022433692877
Sulfate-rich,0.22823897639471144,0.09283359739933361,0.048901209486833824
Nitrate-rich,0.1372843520971651,0.06648005087391291,0.07236605397581874
Bio. burning,0.17270771835963078,0.1127418089596079,0.07971109146805955
