,Passy,Chamonix,Marnaz
Industrial,0.8220726067973521,,
Sea/road salt,0.542558645434993,0.10371021847317978,0.16525073498989862
Primary bio,0.2152603294466088,0.09002849543703477,0.05301375679267242
Mineral dust,0.31079765032749684,0.09656599306402697,0.117727116790142
Vehicular,0.6619330505221205,0.37731073954526945,0.22492302757190819
Secondary bio,0.33049007030025,0.12302119576973244,0.11664321116571254
Sulfate-rich,0.2110211625275767,0.07960298389373388,0.04897315157741129
Nitrate-rich,0.2568702993121998,0.10507441474271663,0.10209806282347465
Bio. burning,0.08972983574524283,0.03439551695379153,0.03253211628203592
