,Passy,Chamonix,Marnaz
Industrial,0.2079846421482598,,
Sea/road salt,0.16010589664369684,0.0641421073520862,0.09537741596021154
Primary bio,0.04557643380002351,0.033193389264805154,0.020725352692713587
Mineral dust,0.06056671715635797,0.02510793261963041,0.026679413242548848
Vehicular,0.17442750696690948,0.15845765128715442,0.09430763991404886
Secondary bio,0.06489301714104485,0.04670157055710603,0.03830118050442942
Sulfate-rich,0.029051802301464844,0.026845979610069733,0.014034315999056862
Nitrate-rich,0.10635835974649163,0.039650602438410315,0.019862586875725945
Bio. burning,0.0604161040772304,0.03299737463874354,0.03550959489426639
