date,Bio burning,Dust,Nitrate-rich,Primary bio,Sea/road salt,Secondary bio,Sulfate-rich,Vehicular
2013-11-17,2.398457865250164,0.0,0.0,0.007704188079720009,0.0,0.00023799605605144683,0.0,0.17364139075695328
2013-11-20,1.4249662974767676,0.0,0.0,0.0025141561235785077,0.016291182614658666,0.0,0.0,0.33692597427511733
2013-11-26,1.9731234399472877,0.0,0.0,0.0,0.08607858730489697,0.0,0.0,0.15008707544442065
2013-12-02,2.6844386236368605,0.0,0.0,0.0,0.030405965320612408,0.00030463272169943317,0.0,0.06661238481864631
2013-12-05,5.435523453602396,0.0,0.0,0.0,0.0,0.001019294580075004,0.0,1.078194718086992
2013-12-08,6.152464082193848,0.0,0.0,0.0,0.07032647934853692,0.0,0.0,0.08602878948032562
2013-12-11,7.6327397023898875,0.0,0.0,0.0,0.04170399660190873,0.0,0.0,1.0289721996247851
2013-12-14,6.560054581890099,0.0,0.0,0.0,0.0708730249121074,0.0,0.0,0.8170023009112497
2013-12-26,4.394259301619816,0.0,0.0,0.0,0.020209651791881406,0.0,0.0,0.08848254209674684
2013-12-29,2.3745689068761653,0.0,0.0,0.005747358054340375,0.05959685600369682,0.0,0.0,0.004210786992368996
2014-01-01,2.6009984513765727,0.0,0.0,0.0007658427746373902,0.04034049447621746,0.0,0.0,0.10096149636986135
2014-01-04,2.7675324039868183,0.0,0.0,0.0030622865829585916,0.02034945265462029,0.0,0.0,0.11436618433605933
2014-01-07,1.7758629137656563,0.0,0.0,0.026726653791248254,0.059366730107606805,0.0,0.0,0.3749130133708655
2014-01-10,2.34366752622445,0.0,0.0,0.02099580766633594,0.25895492253818875,0.00015649994493606846,0.0,0.6184867456021124
2014-01-13,4.142988220992004,0.0,0.0,0.00356163538741243,0.04402250881365765,0.0,0.0,0.7970258348205885
2014-01-16,2.835910569867141,0.0,0.0,0.010870116526803652,0.05068407977295919,0.0,0.0,1.2940763884086481
2014-01-19,4.712784788325837,0.0,0.0,0.0056478196333122795,0.0,0.0,0.0,0.4868116827998972
2014-01-22,1.9126210580421121,0.0,0.0,0.010446482711488871,0.009680821064973711,0.0,0.0,0.39606643784546514
2014-01-25,2.456363717562388,0.0,0.0,6.986652933326717e-05,0.16936693595577898,0.0,0.0,0.2829645249688468
2014-01-28,1.7655627891994943,0.0,0.0,0.001091634849275775,0.17963633502558554,0.000699169351800624,0.0,0.17821331483739353
2014-01-31,2.8488076268075466,0.0,0.0,0.0,0.09922453255868223,0.0006882936243312336,0.0,0.34829267844962286
2014-02-03,2.0663445516895345,0.0,0.0,0.011993358661259676,0.02287049106453045,5.811058844861063e-05,0.0,0.9318873509454692
2014-02-18,1.8396546090844432,0.0,0.0,0.01303168537960955,0.08217219815498303,0.0,0.0,0.4560152090478547
2014-02-21,0.8579054206719547,0.0,0.0,0.015585281480772222,0.056255421388354696,0.0,0.0,0.5601774150151938
2014-02-24,1.1957668260375975,0.0,0.0,0.016325931413105486,0.05790543204329256,2.7041735999121712e-05,0.0,0.3869361514649966
2014-02-27,1.2928822286926585,0.0,0.0,0.009878965039623867,0.08832232167106122,0.0,0.0,0.28649800675318715
2014-03-02,1.0795225343065298,0.0,0.0,0.012692023715184936,0.06275532911203159,0.0,0.0,0.1415711978696798
2014-03-05,1.0145192728641725,0.0,0.0,0.032314566507048774,0.061811821193206495,0.0006105268285872695,0.0,0.4298154934752221
2014-03-08,0.9311661013627583,0.0,0.0,0.016958079510784627,0.09887934371454721,0.00036216293935293275,0.0,0.2534537809126716
2014-03-13,0.3863327101062365,0.0,0.0,0.05214750771763481,0.06632803158504304,0.0018966307940430987,0.0,0.4986241940490524
2014-03-16,0.21231246302931875,0.0,0.0,0.026439364892978257,0.12569476169264984,0.0009154881056005814,0.0,0.20516986889802008
2014-03-20,0.05307074485970291,0.0,0.0,0.0606437656543301,0.06922762337920649,0.0013813564628581967,0.0,0.5153743964293868
2014-04-01,0.0,0.0,0.0,0.07408397824135372,0.1961535022057876,0.0009439752481294341,0.0,0.415542503404038
2014-04-04,0.07839175183601046,0.0,0.0,0.0767069258825588,0.09030716096448087,0.00041830539037474246,0.0,0.38582051274410456
2014-04-07,0.0,0.0,0.0,0.08152823211406736,0.030356475732651402,0.00066081583287755,0.0,0.5524586292613556
2014-04-10,0.0,0.0,0.0,0.05179368749867379,0.14430046653281647,0.00127018208992171,0.0,0.4362279370852223
2014-04-13,0.0,0.0,0.0,0.04877918902986826,0.0851465815533044,0.002367193058918031,0.0,0.304689312356105
2014-04-16,0.0,0.0,0.0,0.008230190111710847,0.28724887807288124,0.007270005983239517,0.0,0.2845777570791075
2014-04-19,0.34923494207253536,0.0,0.0,0.007715509656385997,0.03605037871851024,0.0022182955559971137,0.0,0.1109678921754345
2014-04-24,0.0,0.0,0.0,0.05631779336492205,0.0,0.0024668109086238375,0.0,0.3553640532425774
2014-05-04,0.11472955212970039,0.0,0.0,0.029092956683332102,0.0,0.00160171262095883,0.0,0.15201101760486876
2014-05-07,0.06500332185955102,0.0,0.0,0.05955872336704738,0.03730800862308394,0.0010201023038595857,0.0,0.2494850461811798
2014-05-16,0.0,0.0,0.0,0.017982726489428544,0.05786516069940546,0.0045136005907762565,0.0,0.21091751184483415
