date,Aged sea salt,Bio. burning,Marine bio/HFO,Nitrate-rich,Primary bio,Resuspended dust,Sea/road salt,Sulfate-rich,Vehicular
2014-06-04,0.2579440682815957,0.01656837729156738,0.6389822755029022,0.1852804495681953,0.020686483895209586,0.30733923783803313,0.06293107046393136,0.35600177968444185,0.5164088471827344
2014-06-05,0.18987549470728574,0.014972903922749779,0.3842338352693663,0.15228530101495505,0.016528739191394807,0.25145937641293625,0.0628370030940301,0.1023599197401355,0.5392587961731209
2014-06-10,0.019345805121119677,0.003338221202449131,0.28430488910041024,0.10659971071046853,0.020038966277402367,1.255434220017178,0.0,0.7338303069605302,1.1150775107308601
2014-06-11,0.0,0.0025650302621759865,0.4320871334347819,0.12005157896678956,0.019050649913380818,1.0579920429818352,0.0,0.7293144281484654,1.0739476025481645
2014-06-13,0.0,0.0,0.2913421388306184,0.07512741516737784,0.022185998378552618,1.0784813255043708,0.0,0.6630815389048483,0.8911480106250727
2014-06-14,0.013494296164731627,0.00906965245812466,0.22096964152853668,0.030583964620503473,0.04294064202300507,0.6072278274860533,0.0,0.3823444060881532,0.49812888799042526
2014-06-15,0.017793363969424887,0.02331845692887261,0.03954934348376994,0.030583964620503473,0.08588128404601014,0.24028340412791685,0.03282951209553369,0.048696226523432105,0.3719971695634919
2014-06-19,0.06627729532235446,0.006676442404898262,0.1900057427156207,0.08210715813056327,0.028047736813439025,0.6128158136285631,0.061049723065906496,0.204719839480271,0.6854984697115943
2014-06-20,0.41079981244846725,0.00636962060320257,0.5672023282547789,0.12055919663683941,0.01417722784251596,0.20116750113034898,0.034710859493558545,0.4576090529558998,0.7129184085000582
2014-06-21,0.4334893369732372,0.016322919850210827,0.9570659633083116,0.18274236121794604,0.00998540326407975,0.0,0.013827903375482672,0.7443673575220148,0.6306585921346668
2014-06-23,0.3463137953780683,0.003730953108619617,0.9106201150889377,0.10596518862290621,0.009371965520893965,0.042468694683073675,0.02323464036560694,0.5539478009466157,0.72662837789429
2014-07-05,0.6138113476700935,0.010223302432500464,0.6192779762583194,0.09771640148459615,0.05895818309507839,0.5662492624409823,0.030854097327607594,0.18515103129465685,0.7494783268846764
2014-07-09,0.0,0.01194150452199634,0.2026727922299954,0.08527976856837483,0.02729797957176751,0.3613564372156269,0.03941422798862068,0.0,0.4204390614231112
2014-07-10,0.003307893838611204,0.01120513219792668,0.15904184390270473,0.11662515969395308,0.03056964753542504,0.5010560907783692,0.06904544950751214,0.0,0.7540483166827537
