date,Bio burning,Dust,Industrial,Nitrate-rich,Primary bio,Sea/road salt,Secondary bio,Sulfate-rich,Vehicular
2013-11-17,3.7639299611320576,0.01765145895339962,0.13467858377147046,0.23510322554527407,0.0,0.0,0.0,1.0282706903349152,0.0
2013-12-26,5.976018033742246,0.0,1.9420113770417333,0.21495125590727163,0.0,0.022694820167062365,0.0,0.0,0.0
2013-12-29,4.52633160230486,0.0,0.07612468005151893,0.30286850142786026,0.0,0.5145169522061607,0.0,0.29254539012715874,0.012603972942682751
2014-01-04,3.672676724900689,0.0,0.33229805093928,0.007420128366573554,0.0,0.2871037492862351,0.0,0.0593283102922807,0.014461406590516458
2014-01-07,4.042157658069994,0.031214794227965515,0.21901956966483568,0.023453418791662153,0.0,0.5975385627483033,0.0,0.1117947641570085,0.033421723381486544
2014-01-10,3.6728950439328867,0.057966720918233655,0.17405097416455975,0.007826404925290667,0.0,2.0662394671226654,0.0,0.04660161778894828,0.052440991735289794
2014-01-13,7.515540687315232,0.007338760186239495,0.6532712107297194,0.08819291134417233,0.0,0.13713682201567245,0.0,0.4852235472070702,0.044651158843030524
2014-01-16,1.0378172791299876,0.0,0.01279649983883658,0.0,0.0,0.6370403970188931,0.0,0.06778284561748531,0.019890437632443126
2014-01-22,3.7126895231224246,0.03969082646854425,0.1029287970043214,0.046018935030865724,0.0,0.20686772328934896,0.0,0.17963988180173493,0.0456443703082669
2014-01-25,4.16393711269008,0.043617742662185204,0.4558598464382346,0.1751378422104389,0.0,1.979245172678258,0.0,0.08676108638006667,0.038068583542035246
2014-01-28,1.541703097743607,0.04112398030708406,0.03855710914946502,0.031686892385367954,0.0,1.8335171806474193,0.0,0.05222819712553564,0.026480535376124752
2014-01-31,5.8655774380396695,0.06831556799175384,0.14399615033891422,0.2275683402861996,0.0,1.6500933067730474,0.0,0.08793772045360178,0.06902887093410076
2014-02-03,5.710982847881982,0.009368881724794725,0.2452867915629904,0.23659454678188105,0.0,0.46097507855569303,0.0,0.29983969984649955,0.038840243613084316
2014-02-06,1.3503661010049839,0.040296514103884865,0.2664406173933024,0.0,0.0,0.6975797898840941,0.0,0.0,0.01556820178795887
2014-02-09,1.8102272688920034,0.0021133034599018887,0.03871903029159174,0.0,0.0,1.2760672645630624,0.0,0.09884814920637988,0.00712743887740859
2014-02-12,1.3511292564647017,0.0026632097153498793,0.07912828095602355,0.0047005932836281265,0.0,0.7016429899837562,0.0,0.1015991167537388,0.02533524347712646
2014-02-21,2.1670621751019663,0.0023953592764353795,0.029198829055407747,0.17220429888983038,0.0,0.5109505625990336,0.0,0.10104928837163445,0.00964350531874981
