date,Bio burning,Dust,Industrial,Nitrate-rich,Primary bio,Sea/road salt,Secondary bio,Sulfate-rich,Vehicular
2013-11-17,3.5455738003972637,0.22126048364058806,0.0843329684294058,0.34710603768041054,0.1338854634098073,0.0,0.04377008188789158,1.792867303244471,0.0
2013-11-20,1.3847907408248559,0.0,0.0031292662538198054,0.09621569785242351,0.010084274069235082,0.03718126892995508,0.0062848388137685335,0.16260591809114483,0.7428048989916798
2013-11-23,1.9161547126963459,0.3420526941903113,0.011022637688990415,0.38344910912485497,0.0,0.14538107253845506,0.0032263446387549334,0.35154331254435517,0.5462670911251687
2013-11-26,1.6532451718734518,0.910735262271408,0.021359846064955973,0.6241188012027569,0.0,0.3439842304209813,0.0,0.20277405600761722,1.1473050902549988
2013-11-29,4.806201424332341,1.603263172293087,0.23853728118385523,2.387865881633221,0.0,0.17217500294033178,0.0,0.213111675641742,1.9327364342928326
2013-12-12,8.481998012883066,0.0,0.0,0.2850230278702546,0.0,0.7651629757637608,0.0,1.1527972438272822,11.048298342205692
2013-12-15,5.624197547623786,0.09161426182595796,0.23025993412282014,0.36387975634781516,0.0,0.5547094072764662,0.0,0.5756156483006023,4.288838791634148
2013-12-18,5.07475932895641,0.5604019092281821,0.19314810527418702,0.14306920471726378,0.0,0.7259020843565643,0.0,0.4177232158324624,8.66135279388261
2013-12-20,5.190089682759807,0.0,0.07067176753448252,0.2254748432664541,0.0,0.10648595659094078,0.0,0.4010103975632677,3.1656271569839345
2013-12-23,1.479685063472178,0.19371011970831645,0.04592093058744968,0.0,0.05444700607253193,0.16557056838319828,0.0380175208260742,0.36176894016689753,1.8624752947815055
2013-12-26,5.629332423806672,0.0,1.2160477157044525,0.3173537009513853,0.0,0.005253343342776487,0.0,0.0,0.0
2013-12-29,4.263746378589753,0.0,0.04766771419557578,0.44715458592712426,0.0,0.11909916825605549,0.0,0.5100748952623059,0.9284852482693615
2014-01-04,3.4596144209921027,0.0,0.20807822783886265,0.010955066015907905,0.03445123986424325,0.06645809743793366,0.0,0.10344337213883607,1.065315099419904
2014-01-07,3.8076607262951407,0.3912764653536412,0.13714556492002059,0.03462659114077295,0.01442609068236266,0.13831681447830363,0.02070147998166716,0.1949225813931786,2.4620472665696154
2014-01-10,3.4598200747233574,0.7266110262776421,0.10898715221296004,0.011554892097288374,0.014741827250663884,0.478288229176831,0.0313012013261207,0.08125342635691413,3.863122164118855
2014-01-13,7.0795430393051415,0.09199112846232509,0.4090650409852287,0.13020787757027324,0.0,0.031744107495997376,0.0701919868402713,0.8460237569044297,3.289275730154145
2014-01-16,0.9776105805582382,0.0,0.00801290588818997,0.0,0.07969718315433573,0.14746060572957945,0.007088957628932388,0.11818449049527555,1.4652505211911622
2014-01-22,3.4973059642781257,0.4975232633013241,0.06445190278338031,0.06794228432974017,0.013896794235369193,0.04788525174368452,0.0021194192198289294,0.31321564785254297,3.362441722978602
2014-01-25,3.9223754123244685,0.5467470344646541,0.2854500913310998,0.2585732386978916,0.0,0.45815099547262483,0.004464187952711888,0.15127448095805068,2.8043632275337242
2014-01-28,1.452264565971623,0.5154878016595322,0.024143671380956376,0.04678247878897183,0.027668621831291703,0.42441822424307046,0.0016855464718889736,0.09106379070600668,1.950717172657903
2014-01-31,5.525298797605628,0.8563334993408985,0.09016743761646281,0.33598154476633857,0.11027537343009196,0.38195969936245966,0.015829673278366256,0.15332603098097056,5.085086159615338
2014-02-03,5.379672674323198,0.11743863819258414,0.15359356083022507,0.34930782204192545,0.0,0.10670542186675011,0.02712397276107689,0.522793072993585,2.8612083981720424
2014-02-06,1.272027566428964,0.5051155387888288,0.16683965294043002,0.0,0.020279934087295472,0.16147412133106925,0.003144699509648144,0.0,1.1468483602697899
2014-02-09,1.7052108948960842,0.02649019250202904,0.024245063080992342,0.0,0.09073479907530657,0.2953810349621769,0.0,0.17234918428009172,0.5250504650961934
2014-02-12,1.2727464490945681,0.033383250144381794,0.04954850751223211,0.006939948635936981,0.04139350897470883,0.16241466128850449,0.015238259559439216,0.17714570314842587,1.8663480108056736
2014-02-21,2.0413448048227014,0.030025753304374025,0.01828370821810605,0.2542421598876429,0.16263940899656912,0.1182736288174333,0.0,0.17618703600179195,0.7103992106920932
2014-02-27,2.1024498313990567,0.029956914967833034,0.06449933683254888,0.21694313309279975,0.10660933209267372,0.1384317554730386,0.0,0.3787694051625482,0.416560519750867
2014-03-02,1.1321517284195515,0.126035842926662,0.010987655280576917,0.078530885029754,0.12575962372693994,0.11741672018967322,0.01246963725012462,0.25512051969520366,0.5651878582409597
2014-03-05,1.035204102008921,0.5865651283527145,0.00941875179101265,0.1897111751818179,0.12335652314324247,0.17924967771414377,0.01768014692613201,0.36522031269715427,1.0934330926505895
2014-03-08,1.838411135183805,0.8795472515627919,0.023056826355634823,0.291352953682394,0.22972029338842784,0.17611466357084918,0.024338155094988996,0.317890780578687,2.975451623114985
2014-03-11,1.6227437486631646,2.459979236038073,0.04876999192043865,1.510794690651721,0.2964986824543348,0.033213381981621284,0.03579095762387933,0.17129465430066662,1.9301086554028628
2014-03-14,0.3964277036712582,2.058521499313337,0.05968470781654826,1.9231849030095445,0.34012716852713776,0.028526539408840597,0.05195108751615825,0.11613932615204557,2.074780724872846
2014-03-17,0.009088536830755962,0.9452003615265893,0.02592424140385117,0.07557882577143568,0.444881733183759,0.12026959020296064,0.023656270789931422,0.24782512326652512,2.997028003081063
